Brand,Branch,Roometype,Roomame,Nbers of Unitys,Area_avg,Area_min,Area_max,Rent25_avg,Rent25_min,Rent25_max,Waiting_time
Unity,Unity Kista Campus,Studio,Studio Small,,15,15,,6899,6899,,
Unity,Unity Kista Campus,Studio,Studio Medium,,17.5,17,18,7315.5,7240,7391,
Unity,Unity Kista Campus,Studio,Studio Large,,23.5,23,24,8292,8292,,
Unity,Unity Kista Campus,Ensuite,Co-Living,,16,16,,8099,8099,,
Unity,Unity Kista,1Bedroom,1 Room - E,,26,26,,9279,9279,,
Unity,Unity Kista,1Bedroom,1 Room - C,,27.5,27,28,9460,9421,9499,
Unity,Unity Kista,1Bedroom,1 Room - B,,20,20,,8426,8426,,
Unity,Unity Kista,1Bedroom,1 Room - A,,22,22,,,,,
Unity,Unity Kista,2Bedrooms,2 Room - F,,52,52,,,,,
Unity,Unity Kista,2Bedrooms,2 Room - D,,34,34,,,,,
Unity,Unity Kista,2Bedrooms,2 Room - B,,24,24,,11267,11267,,
Unity,Unity Kista,2Bedrooms,2 Room - A,,34,34,,,,,
Unity,Unity Kista,1Bedroom,1 Room - D,,25,25,,,,,
Unity,Unity Kista,2Bedrooms,2 Room - E,,35,35,,,,,
Unity,Unity Kista,1Bedroom,1 Room + B,,25,25,,,,,
Unity,Unity Kista,1Bedroom,1 Room + D,,25,25,,,,,
Unity,Unity Kista,1Bedroom,1 Room + A,,25,25,,,,,
Allihoop,Allihoop _rsta,Studio,Studio,,20,20,,9455,9455,,
Allihoop,Allihoop _rsta,Studio,Studio Plus,,20,20,,11210,11210,,
Allihoop,Allihoop _rsta,Studio,Studio Flex,,25,25,,11400,11400,,
Allihoop,Allihoop _rsta,Studio,Studio Max,,32,32,,12830,12830,,
Allihoop,Allihoop Broma Friends,Studio,Studio,,15,15,,9980,9980,,
Allihoop,Allihoop Broma Friends,Studio,Studio Plus,,20,20,,11305,11305,,
Allihoop,Allihoop Broma Friends,Studio,Studio Max,,26,22,30,13780,13780,,
Allihoop,Allihoop _ngby Aces,Studio,Studio Max,,22,21,23,12150,10800,13500,
Allihoop,Allihoop _ngby Aces,Studio,Studio Plus,,16,15,17,10800,9600,12000,
Allihoop,Allihoop _ngby Aces,Studio,Studio,,11,10,12,11600,11600,,
Allihoop,Allihoop Sp_nga Star,Studio,Studio Max,,28,28,,9975,9975,,
Allihoop,Allihoop Sp_nga Star,Studio,Stuido Smart,,14,14,,6650,6650,,
Allihoop,Allihoop Kransen Icons,Studio,Studio,,15,15,,10070,10070,,
Allihoop,Allihoop Kransen Icons,Studio,Studio Max,,25,25,,13020,13020,,
Allihoop,Allihoop Kransen Icons,Studio,Stuido Plus,,18,18,,10930,10930,,
Unity,UNITY Hammarby Sj_stad,Studio,City Studio,,20,20,,16183.5,16183.5,,
Unity,UNITY Hammarby Sj_stad,Studio,Deluxe Studio,,27,27,,18321.3,18321.3,,
SSSB,SSSB Medicinaren,Ensuite,Corridor rooms,20,17.5,17,18,4126.5,4026,4227,
SSSB,SSSB Medicinaren,1Bedroom,1 room & kitchenette,148,23.5,18,29,5056.5,3111,7002,
SSSB,SSSB Medicinaren,2Bedrooms,2 rooms & kitchen/kitchenette,131,46.5,30,63,7621.5,4272,10971,
SSSB,SSSB Medicinaren,4Bedrooms,4 rooms & kitchen,13,95,95,,10106,9405,10807,
SSSB,SSSB Birka,1Bedroom,1 room & kitchen,144,23.5,21,26,8050.5,7550,8551,
SSSB,SSSB Birka,2Bedrooms,2 rooms & kitchen,22,43.5,43,44,11547.5,11416,11679,
SSSB,SSSB Hammarbyhemmet,Ensuite,Corridor rooms,29,14.5,14,15,4778,4638,4918,202
SSSB,SSSB Hammarbyhemmet,1Bedroom,1 room & kitchenette,2,27,26,28,6714.5,6432,6997,1236
SSSB,SSSB Hammarbyhemmet,2Bedrooms,2 rooms & kitchen,1,43,43,,9603,9603,,1167
SSSB,SSSB Hammarbyhemmet,3Bedrooms,3 rooms & kitchen,1,83,83,,11555,11555,,1238
SSSB,SSSB Hammarbyhemmet,3Bedrooms,3 rooms & kitchen,2,95,95,,12581.5,12328,12835,1199
SSSB,SSSB Embla,1Bedroom,1 room & kitchenette,180,29.5,20,39,6966,5807,8125,796
SSSB,SSSB Embla,2Bedrooms,2 rooms & kitchen,82,49,41,57,10871,9932,11810,845
SSSB,SSSB Embla,3Bedrooms,3 rooms & kitchen,5,60,50,70,12645,11511,13779,820
SSSB,SSSB Balder,Ensuite,Corridor rooms,60,16,15,17,3619,3223,4015,224
SSSB,SSSB Balder,1Bedroom,1 room & kitchenette,32,30,29,31,3619,3223,4015,854
SSSB,SSSB Balder,2Bedrooms,2 rooms & kitchenette,1,49,49,,5575,5575,,
SSSB,SSSB Balder,3Bedrooms,3 rooms & kitchen,1,83,83,,8048,8048,,
SSSB,SSSB Tanto,1Bedroom,1 room & kitchenette,24,25,20,30,4836.5,4405,5268,
SSSB,SSSB Lucidor,Ensuite,Room in collective housing,28,22,12,32,4524,3518,5530,902
SSSB,SSSB Lucidor,2Bedrooms,2 rooms & kitchen/kitchenette,7,64.5,42,87,8928.5,7132,10725,2238
SSSB,SSSB Marieberg,2Bedrooms,2 rooms & kitchenette,30,30,30,,5587.5,4707,6468,945
